neighbourhood_group,neighbourhood,room_type,minimum_nights,price
2,39,0,1,89
0,24,1,1,70
0,6,1,1,44
1,7,0,1,99
1,7,0,1,99
2,153,1,30,63
1,8,0,1,100
1,8,1,7,155
1,4,1,5,9999
0,21,0,5,75
1,27,0,1,109
1,19,0,3,130
0,54,0,3,35
1,2,0,4,45
0,21,1,2,1000
1,7,1,31,250
2,44,0,1,100
0,15,1,1,200
1,9,1,31,249
2,49,1,3,90
0,12,1,90,150
0,32,1,2,325
1,28,1,1,95
1,165,0,2,65
1,28,2,1,69
2,39,0,2,60
1,30,1,1,200
1,19,1,2,225
0,32,1,8,125
1,11,1,7,139
0,6,0,2,55
0,22,0,2,115
0,22,0,14,60
1,1,0,12,78
1,52,1,7,230
0,6,1,1,139
0,34,0,1,60
1,11,1,7,163
0,12,1,2,140
0,21,0,30,35
1,26,1,3,150
1,14,1,6,349
0,84,0,28,35
2,56,0,5,69
1,7,1,2,230
0,34,0,30,77
0,22,0,10,54
1,14,1,30,205
1,7,1,3,350
0,20,0,2,116
1,68,1,5,150
1,19,1,3,178
2,25,1,2,150
2,85,1,2,130
1,2,1,1,125
1,19,0,1,150
0,79,1,4,100
1,52,0,1,170
1,71,1,30,290
2,107,1,2,169
0,22,0,3,49
0,3,0,6,64
0,6,1,4,94
4,182,0,30,27
0,12,0,3,115
0,6,1,2,170
1,8,1,5,450
0,73,0,1,100
1,19,1,3,140
1,27,1,30,495
1,2,1,3,105
0,3,0,30,95
1,1,1,7,350
0,6,0,3,55
0,29,0,2,75
0,6,1,2,112
0,6,1,4,100
0,20,0,3,80
0,20,0,2,98
0,6,0,1,60
1,19,1,3,150
1,14,0,2,289
1,26,1,6,299
1,7,1,30,195
0,12,0,2,70
0,16,1,4,245
1,28,1,2,130
0,6,0,3,215
1,2,0,2,100
2,162,2,2,25
1,14,1,3,150
0,15,0,4,45
2,95,2,1,45
0,0,1,1,100
1,4,1,5,120
0,21,0,1,50
0,6,0,3,65
0,15,1,3,50
1,4,0,2,95
1,43,1,15,134
1,68,0,2,85
0,15,1,1,300
1,18,1,2,200
0,33,1,7,495
1,23,1,3,400
2,178,1,1,85
1,2,0,1,45
0,6,1,3,60
1,50,0,2,90
0,3,1,2,134
2,121,0,2,50
0,21,0,2,84
0,6,1,4,195
2,49,0,2,60
1,18,1,3,150
0,13,0,2,120
0,6,2,1,35
1,1,1,4,375
1,28,1,2,210
0,15,0,2,45
1,8,1,30,225
0,29,1,7,96
2,39,1,2,125
1,7,0,10,85
1,7,0,23,100
1,23,0,4,80
1,19,1,2,200
0,21,0,2,50
2,198,0,2,67
0,12,1,5,190
2,124,0,2,50
0,21,0,2,50
0,12,1,2,75
0,12,0,5,100
0,20,1,30,149
2,159,0,1,60
1,71,1,2,385
0,117,1,3,100
0,15,1,5,100
1,45,0,1,55
4,80,0,4,82
0,84,1,1,150
2,152,0,1,59
0,12,0,1,75
1,64,0,30,62
1,2,0,3,75
1,7,1,3,220
1,5,1,5,395
0,6,0,1,27
0,6,0,1,79
1,14,1,3,245
0,21,0,1,100
4,127,0,28,55
0,21,0,2,29
2,49,0,6,45
1,1,1,4,500
2,56,1,30,110
0,10,1,3,210
2,126,1,3,90
1,7,1,1,100
0,22,0,5,45
1,1,1,30,239
0,36,0,2,65
2,39,1,1,85
2,56,1,30,107
2,124,0,1,40
0,16,1,30,185
2,25,1,3,160
1,43,1,2,230
1,30,0,15,50
0,15,0,3,50
0,12,1,4,250
1,8,1,14,120
2,56,1,2,98
0,6,1,3,145
1,7,0,2,150
1,19,0,1,80
4,133,0,1,45
1,14,1,3,447
1,30,1,1,75
0,6,2,5,30
1,43,1,2,432
0,12,0,7,70
1,43,1,2,407
1,8,0,2,98
1,43,0,1,115
0,6,1,1,200
0,20,0,2,45
0,22,1,3,110
0,117,1,1,180
2,46,0,1,80
0,6,1,3,135
1,52,1,1,300
1,8,1,4,200
1,11,0,1,80
1,28,0,1,79
1,18,1,1,300
1,71,0,1,100
1,8,1,2,199
0,32,1,1,129
1,48,1,10,185
0,12,0,3,85
1,4,0,1,70
0,6,1,1,120
0,15,0,2,38
1,64,1,4,250
